country,year,estimate,hi,lo
GHA,2011,0.01,0.11,0.14
GHA,2012,0.09,0.09,0.12
GHA,2013,0.08,0.19,0.25
GHA,2014,0.15,0.15,0.21
GHA,2015,0.13,0.2,0.27
GHA,2016,0.17,0.31,0.41
GHA,2017,0.25,0.3,0.41
GIN,2009,NA,NA,NA
GIN,2010,NA,0.05,0.06
GIN,2011,0.04,0.06,0.08
GIN,2012,0.05,0,0
GIN,2013,0,0.06,0.07
GIN,2014,0.05,0.07,0.09
GIN,2015,0.06,0.04,0.05
GIN,2016,0.03,0.39,0.52
GIN,2017,0.32,0.11,0.15
GMB,2009,NA,NA,NA
GMB,2010,NA,NA,NA
GMB,2011,NA,NA,NA
GMB,2012,NA,NA,NA
GMB,2013,NA,NA,NA
GMB,2014,NA,0.08,0.1
GMB,2015,0.07,0.11,0.14
GMB,2016,0.1,0.12,0.14
GMB,2017,0.1,0.12,0.14
GNB,2009,NA,NA,NA
GNB,2010,NA,NA,NA
GNB,2011,NA,0,0
GNB,2012,0,0.03,0.04
GNB,2013,0.02,0.05,0.08
GNB,2014,0.04,0.24,0.34
GNB,2015,0.2,0.35,0.49
GNB,2016,0.29,0.36,0.5
GNB,2017,0.29,0.36,0.51
GNQ,2009,NA,NA,NA
GNQ,2010,NA,NA,NA
GNQ,2011,NA,NA,NA
GNQ,2012,NA,NA,NA
GNQ,2013,NA,NA,NA
GNQ,2014,NA,NA,NA
GNQ,2015,NA,NA,NA
GNQ,2016,NA,NA,NA
GNQ,2017,NA,NA,NA
GRC,2009,NA,NA,NA
GRC,2010,NA,NA,NA
GRC,2011,NA,NA,NA
GRC,2012,NA,NA,NA
GRC,2013,NA,NA,NA
GRC,2014,NA,NA,NA
GRC,2015,NA,NA,NA
GRC,2016,NA,NA,NA
GRC,2017,NA,NA,NA
GRD,2009,NA,NA,NA
GRD,2010,NA,NA,NA
GRD,2011,NA,NA,NA
GRD,2012,NA,NA,NA
GRD,2013,NA,NA,NA
GRD,2014,NA,NA,NA
GRD,2015,NA,NA,NA
GRD,2016,NA,NA,NA
GRD,2017,NA,NA,NA
GTM,2009,NA,NA,NA
GTM,2010,NA,NA,NA
GTM,2011,NA,0.19,0.21
GTM,2012,0.16,0.17,0.19
GTM,2013,0.15,0.11,0.13
GTM,2014,0.1,0.15,0.17
GTM,2015,0.14,0.15,0.16
GTM,2016,0.13,0.15,0.18
GTM,2017,0.14,0.17,0.19
GUY,2009,NA,NA,NA
GUY,2010,NA,0.27,0.3
